Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1040626171732484096,"@p_gamboa10 @BarnabyPrieto2 Manudo, se nos está adelantando. Esperamos a febrero ?",L.D.A., @ldacr ,Fri Sep 14 15:39:47 +0000 2018,3,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1040626369170997248,@BarnabyPrieto2 La del Centenario saldrá a inicios del próximo año. Los Socios tienen un descuento en nuestras tiendas. ???,L.D.A., @ldacr ,Fri Sep 14 15:40:34 +0000 2018,2,0,Spanish,Twitter for iPhone,Reply,,0,0,0
1040626518081331200,"@equesada70 También hay de 18 mil colones. Tenemos variedad, son 12 modelos.",L.D.A., @ldacr ,Fri Sep 14 15:41:10 +0000 2018,3,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1040631713163104256,"Viste que es muy fácil. ?
Lo esperamos en su Catedral el domingo. ? https://t.co/i9OrgAxi3f",L.D.A., @ldacr ,Fri Sep 14 16:01:49 +0000 2018,36,2,Spanish,Twitter for iPhone,Tweet,,1,0,0
1040633247246544896,"Les tenemos otra buena noticia. ?
La venta por Amazon es un éxito, ya se vendió el 90% de las camisas disponibles en Amazon, todo esto en menos de 24 horas. 
Presionando el botón de reposición de inventario. ?
#ElEquipoDeSuGente https://t.co/xMKpJN0mYG",L.D.A., @ldacr ,Fri Sep 14 16:07:54 +0000 2018,191,12,Spanish,Twitter for iPhone,Tweet,Photo,0,1,0
1040691450273562626,Ya tenemos estilos agotados en nuestra Ligastore del estadio. ? https://t.co/w0BoPxRasR,L.D.A., @ldacr ,Fri Sep 14 19:59:11 +0000 2018,85,4,Spanish,Twitter for iPhone,Tweet,Video,0,0,0
1040694233219452929,@ldacr Apenas me dio tiempo de ir x mi gorra ? https://t.co/bp2lru2FTl,L.D.A., @ldacr ,Fri Sep 14 20:10:15 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,Photo,0,0,1
1040694416682504192,@rociomoram29 ¡Sííííí! ???,L.D.A., @ldacr ,Fri Sep 14 20:10:58 +0000 2018,3,0,Undetermined,Twitter for iPhone,Reply,,0,0,1
1040717155321434112,@waltermedinam @focampo13 En la tienda en línea las íbamos a cargar el lunes. La alta demanda nos lleva a ponerlas a la venta en https://t.co/hAqSgcNFeD en unas horas.,L.D.A., @ldacr ,Fri Sep 14 21:41:20 +0000 2018,1,0,Spanish,Twitter for iPhone,Reply,,1,0,2
1040721981702844416,@JairoHdez3 En unas horas liguistas,L.D.A., @ldacr ,Fri Sep 14 22:00:30 +0000 2018,1,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1040729612869885952,"Ojo Manudos, el presidente está regalando algunas de las nuevas gorras de @NewEraCap.
Vamos a participar ? https://t.co/hRIt015Plp",L.D.A., @ldacr ,Fri Sep 14 22:30:50 +0000 2018,48,1,Spanish,Twitter for iPhone,Tweet,,1,0,1
1040734281809711105,"? Llenemos La Catedral ? este domingo ante Guadalupe FC. 
?? Aproveche precios especiales hasta el próximo 15 de septiembre ?? https://t.co/cXKRCrxNkz",L.D.A., @ldacr ,Fri Sep 14 22:49:23 +0000 2018,81,3,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1040761044254289922,"???Ya están disponibles en nuestra tienda en línea. 
Pasen, adelante. ?
https://t.co/OzHsXmVDMe https://t.co/hpiZmn1Ign",L.D.A., @ldacr ,Sat Sep 15 00:35:44 +0000 2018,138,10,Spanish,Twitter for iPhone,Tweet,Photo,1,0,0
1040768401516515333,"@drselfdestruct Así es, de 9 a.m. a 5 p.m. ??",L.D.A., @ldacr ,Sat Sep 15 01:04:58 +0000 2018,1,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1040788047732846593,"Venimos a regalar entradas para el juego ante Guadalupe FC ?? 
Solamente debe compartirnos, en este tuit, una bomba de la independencia ??? 
Los mejores se llevarán una entrada doble para acompañar al León ??? https://t.co/JlYbegpBxQ",L.D.A., @ldacr ,Sat Sep 15 02:23:02 +0000 2018,188,20,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1040801555451142144,@sebasaguero19 @quesadad @FerlinF_lda ?????,L.D.A., @ldacr ,Sat Sep 15 03:16:42 +0000 2018,5,0,Undetermined,Twitter for iPhone,Reply,,0,0,3
